Course__c,ID,Status__c
200,1231,Scheduled
200,1232,Scheduled
200,1233,Scheduled
200,1234,Scheduled
201,1235,Scheduled
201,1236,Scheduled
201,1237,Scheduled
201,1238,Scheduled
201,1239,Scheduled
201,1240,Scheduled
201,1241,Scheduled
202,1242,Scheduled
202,1243,Scheduled
202,1244,Scheduled
203,1245,Scheduled
203,1246,Scheduled
203,1247,Scheduled
204,1248,Scheduled
204,1249,Scheduled
205,1250,Scheduled
205,1251,Scheduled
205,1252,Scheduled
205,1253,Scheduled
205,1254,Scheduled
206,1255,Scheduled
207,1256,Scheduled
207,1257,Scheduled
207,1258,Scheduled
207,1259,Scheduled
207,1260,Scheduled
207,1261,Scheduled
208,1262,Scheduled
208,1263,Scheduled
208,1264,Scheduled
208,1265,Scheduled
209,1266,Scheduled
209,1267,Scheduled
209,1268,Scheduled
209,1269,Scheduled
210,1270,Scheduled
211,1271,Scheduled
211,1272,Scheduled
211,1273,Scheduled
211,1274,Scheduled
212,1275,Scheduled
212,1276,Scheduled
212,1277,Scheduled
212,1278,Scheduled
212,1279,Scheduled
212,1280,Scheduled
213,1281,Scheduled
213,1282,Scheduled
213,1283,Scheduled
213,1284,Scheduled
213,1285,Scheduled
213,1286,Scheduled
213,1287,Scheduled
213,1288,Scheduled
214,1289,Scheduled
214,1290,Scheduled
214,1291,Scheduled
214,1292,Scheduled
214,1293,Scheduled
215,1294,Scheduled
215,1295,Scheduled
215,1296,Scheduled
215,1297,Scheduled
215,1298,Scheduled
216,1299,Scheduled
217,1300,Scheduled
217,1301,Scheduled
217,1302,Scheduled
217,1303,Scheduled
217,1304,Scheduled
218,1305,Scheduled
218,1306,Scheduled
218,1307,Scheduled
218,1308,Scheduled
218,1309,Scheduled
219,1310,Scheduled
219,1311,Scheduled
219,1312,Scheduled
219,1313,Scheduled
219,1314,Scheduled
220,1315,Scheduled
220,1316,Scheduled
220,1317,Scheduled
220,1318,Scheduled
220,1319,Scheduled
221,1320,Scheduled
222,1321,Scheduled
223,1322,Scheduled
224,1323,Scheduled
225,1324,Scheduled
226,1325,Scheduled
227,1326,Scheduled
228,1327,Scheduled
229,1328,Scheduled
230,1329,Scheduled
231,1330,Scheduled
232,1331,Scheduled
233,1332,Scheduled
234,1333,Scheduled
235,1334,Scheduled
236,1335,Scheduled
237,1336,Scheduled
238,1337,Scheduled
239,1338,Scheduled
240,1339,Scheduled
241,1340,Scheduled
242,1341,Scheduled
243,1342,Scheduled
244,1343,Scheduled
245,1344,Scheduled
246,1345,Scheduled
247,1346,Scheduled
248,1347,Scheduled
249,1348,Scheduled
250,1349,Scheduled
251,1350,Scheduled
252,1351,Scheduled
253,1352,Scheduled
254,1353,Scheduled
255,1354,Scheduled
256,1355,Scheduled
257,1356,Scheduled
258,1357,Scheduled
259,1358,Scheduled
260,1359,Scheduled
261,1360,Scheduled
262,1361,Scheduled
263,1362,Scheduled
264,1363,Scheduled
265,1364,Scheduled
266,1365,Scheduled
267,1366,Scheduled
268,1367,Scheduled
269,1368,Scheduled
270,1369,Scheduled
271,1370,Scheduled
272,1371,Scheduled
273,1372,Scheduled
274,1373,Scheduled
275,1374,Scheduled
276,1375,Scheduled
277,1376,Scheduled
278,1377,Scheduled
279,1378,Scheduled
280,1379,Scheduled
281,1380,Scheduled
282,1381,Scheduled
283,1382,Scheduled
284,1383,Scheduled
285,1384,Scheduled
286,1385,Scheduled
287,1386,Scheduled
288,1387,Scheduled
289,1388,Scheduled
290,1389,Scheduled
291,1390,Scheduled
292,1391,Scheduled
293,1392,Scheduled
294,1393,Scheduled
295,1394,Scheduled
296,1395,Scheduled
297,1396,Scheduled
298,1397,Scheduled
299,1398,Scheduled
300,1399,Scheduled
301,1400,Scheduled
302,1401,Scheduled
303,1402,Scheduled
304,1403,Scheduled
305,1404,Scheduled
306,1405,Scheduled
307,1406,Scheduled
308,1407,Scheduled
309,1408,Scheduled
310,1409,Scheduled
311,1410,Scheduled
312,1411,Scheduled
313,1412,Scheduled
314,1413,Scheduled
315,1414,Scheduled
316,1415,Scheduled
317,1416,Scheduled
318,1417,Scheduled
319,1418,Scheduled
320,1419,Scheduled
321,1420,Scheduled
322,1421,Scheduled
323,1422,Scheduled
324,1423,Scheduled
325,1424,Scheduled
326,1425,Scheduled
327,1426,Scheduled
328,1427,Scheduled
329,1428,Scheduled
330,1429,Scheduled
331,1430,Scheduled
332,1431,Scheduled
333,1432,Scheduled
334,1433,Delivered
335,1434,Delivered
336,1435,Delivered
337,1436,Delivered
338,1437,Delivered
339,1438,Delivered
340,1439,Delivered
340,1440,Delivered
340,1441,Delivered
340,1442,Delivered
340,1443,Delivered
340,1444,Delivered
341,1445,Delivered
342,1446,Delivered
343,1447,Delivered
344,1448,Delivered
345,1449,Delivered
346,1450,Delivered
347,1451,Delivered
348,1452,Delivered
349,1453,Delivered
350,1454,Delivered
351,1455,Delivered
352,1456,Delivered
353,1457,Delivered
354,1458,Delivered
